aapl,SVC,68.9330543933
amzn,SVC,70.5490848586
googl,SVC,58.6614173228
msft,SVC,50.1176470588
tsla,SVC,65.7657657658

aapl,SVC,68.9330543933
amzn,SVC,70.5490848586
googl,SVC,58.6614173228
msft,SVC,50.1176470588
tsla,SVC,65.7657657658
aapl,SVC,58.0865603645
amzn,SVC,62.6955475331
googl,SVC,50.2369668246
msft,SVC,46.6204506066
tsla,SVC,62.8762541806
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
aapl,SVC,58.6230876217
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,58.6230876217
amzn,SVC,67.9089026915
googl,SVC,59.0643274854
msft,SVC,50.3692762186
tsla,SVC,63.3647798742
aapl,SVC,41.3073713491
amzn,SVC,32.1946169772
googl,SVC,41.1306042885
msft,SVC,49.7784342688
tsla,SVC,36.7924528302
aapl,SVC,59.8748261474
amzn,SVC,64.6997929607
googl,SVC,55.5555555556
msft,SVC,50.3681885125
tsla,SVC,62.893081761
aapl,SVC,58.6518415566
amzn,SVC,64.6997929607
googl,SVC,59.1439688716
msft,SVC,50.3681885125
tsla,SVC,63.4222919937
aapl,SVC,58.6111111111
amzn,SVC,64.6997929607
googl,SVC,59.0291262136
msft,SVC,50.3681885125
tsla,SVC,63.3228840125
aapl,SVC,53.9081385979
amzn,SVC,61.8798955614
googl,SVC,55.0632911392
msft,SVC,58.6638830898
tsla,SVC,65.3758542141
